date;state;city;place_type;confirmed;deaths;is_last;estimated_population;city_ibge_code;confirmed_per_100k_inhabitants;death_rate;death_per_100k_inhabitants;Ranking IDHM 2010;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
2022-03-26;PI;Cocal;city;1568;50;True;27845,0;2202703,0;5631,17256;0,0319;179,5654516071108;5537 º;497;0516;0712;334
2022-03-26;PI;Cocal de Telha;city;625;13;True;4899,0;2202711,0;12757,70565;0,0208;265,360277607675;5128 º;555;0550;0780;399
2022-03-26;PI;Cocal dos Alves;city;425;7;True;6168,0;2202729,0;6890,40208;0,0165;113,48897535667965;5535 º;498;0504;0779;315
2022-03-26;PI;Coivaras;city;340;6;True;4032,0;2202737,0;8432,53968;0,0176;148,8095238095238;4941 º;565;0543;0732;453
2022-03-26;PI;Colônia do Gurguéia;city;690;14;True;6516,0;2202752,0;10589,3186;0,0203;214,85573971761818;3519 º;628;0578;0778;550
2022-03-26;PI;Colônia do Piauí;city;770;5;True;7661,0;2202778,0;10050,90719;0,0065;65,26563111865292;4444 º;588;0570;0772;462
2022-03-26;PI;Conceição do Canindé;city;527;7;True;4807,0;2202802,0;10963,1787;0,0133;145,6209694195964;4416 º;589;0559;0759;482
2022-03-26;PI;Coronel José Dias;city;131;6;True;4685,0;2202851,0;2796,15795;0,0458;128,06830309498397;5253 º;546;0518;0725;433
2022-03-26;PI;Corrente;city;2065;35;True;26709,0;2202901,0;7731,47628;0,0169;131,0419708712419;3254 º;642;0620;0789;540
2022-03-26;PI;Cristalândia do Piauí;city;70;4;True;8323,0;2203008,0;841,04289;0,0571;48,05959389643157;4786 º;573;0521;0770;469
2022-03-26;PI;Cristino Castro;city;1059;13;True;10444,0;2203107,0;10139,79318;0,0123;124,473381846036;4921 º;566;0586;0713;434
2022-03-26;PI;Curimatá;city;1212;18;True;11426,0;2203206,0;10607,38666;0,0149;157,53544547523194;3984 º;607;0574;0741;527
2022-03-26;PI;Currais;city;386;3;True;4968,0;2203230,0;7769,72625;0,0078;60,386473429951685;5293 º;542;0490;0743;438
2022-03-26;PI;Curralinhos;city;509;3;True;4459,0;2203255,0;11415,1155;0,0059;67,27965911639382;5128 º;555;0512;0762;438
2022-03-26;PI;Curral Novo do Piauí;city;309;2;True;5367,0;2203271,0;5757,40637;0,0065;37,26476616359232;5416 º;527;0506;0685;422
2022-03-26;PI;Demerval Lobão;city;3806;39;True;13840,0;2203305,0;27500,0;0,0102;281,7919075144509;3735 º;618;0588;0781;515
2022-03-26;PI;Dirceu Arcoverde;city;308;10;True;7029,0;2203354,0;4381,84664;0,0325;142,2677479015507;5027 º;561;0563;0718;436
2022-03-26;PI;Dom Expedito Lopes;city;655;12;True;6922,0;2203404,0;9462,58307;0,0183;173,36030049118753;4123 º;601;0583;0762;488
2022-03-26;PI;Domingos Mourão;city;276;4;True;4354,0;2203420,0;6338,99862;0,0145;91,86954524575103;5194 º;550;0547;0755;403
2022-03-26;PI;Dom Inocêncio;city;321;7;True;9565,0;2203453,0;3355,98536;0,0218;73,18348144276007;5209 º;549;0498;0756;439
2022-03-26;PI;Elesbão Veloso;city;716;33;True;14575,0;2203503,0;4912,52144;0,0461;226,41509433962264;4638 º;580;0573;0758;450
2022-03-26;PI;Eliseu Martins;city;301;16;True;4930,0;2203602,0;6105,47667;0,0532;324,54361054766736;4255 º;595;0616;0742;462
2022-03-26;PI;Esperantina;city;2945;93;True;39848,0;2203701,0;7390,58422;0,0316;233,38687010640433;4029 º;605;0579;0769;497
2022-03-26;PI;Fartura do Piauí;city;189;6;True;5319,0;2203750,0;3553,29949;0,0317;112,80315848843769;5225 º;548;0506;0738;441
2022-03-26;PI;Flores do Piauí;city;188;5;True;4462,0;2203800,0;4213,35724;0,0266;112,05737337516808;5244 º;547;0525;0704;443
2022-03-26;PI;Floresta do Piauí;city;101;4;True;2560,0;2203859,0;3945,3125;0,0396;156,25;5339 º;538;0530;0753;391
2022-03-26;PI;Floriano;city;9801;180;True;60025,0;2203909,0;16328,19658;0,0184;299,875052061641;1904 º;700;0676;0802;633
2022-03-26;PI;Francinópolis;city;76;6;True;5347,0;2204006,0;1421,35777;0,0789;112,21245558256966;4965 º;564;0523;0722;475
2022-03-26;PI;Francisco Ayres;city;436;7;True;4323,0;2204105,0;10085,58871;0,0161;161,92458940550546;4695 º;577;0565;0756;450
2022-03-26;PI;Francisco Macedo;city;501;6;True;3200,0;2204154,0;15656,25;0,012;187,5;5157 º;553;0567;0701;425
2022-03-26;PI;Francisco Santos;city;692;8;True;9372,0;2204204,0;7383,69612;0,0116;85,36064874093043;3957 º;608;0598;0754;498
2022-03-26;PI;Fronteiras;city;1091;11;True;11659,0;2204303,0;9357,57784;0,0101;94,34771421219658;3721 º;619;0621;0748;511
2022-03-26;PI;Geminiano;city;517;6;True;5460,0;2204352,0;9468,86447;0,0116;109,89010989010988;5027 º;561;0524;0755;446
2022-03-26;PI;Gilbués;city;908;7;True;10694,0;2204402,0;8490,74247;0,0077;65,45726575649897;5225 º;548;0574;0753;380
2022-03-26;PI;Guadalupe;city;1474;28;True;10497,0;2204501,0;14042,10727;0,019;266,7428789177861;3115 º;650;0639;0794;542
2022-03-26;PI;Guaribas;city;108;2;True;4568,0;2204550,0;2364,2732;0,0185;43,78283712784589;5507 º;508;0483;0711;381
2022-03-26;PI;Hugo Napoleão;city;811;9;True;3879,0;2204600,0;20907,45037;0,0111;232,0185614849188;4167 º;599;0528;0776;524
2022-03-26;PI;Ilha Grande;city;1292;21;True;9457,0;2204659,0;13661,83779;0,0163;222,05773501110286;4984 º;563;0534;0708;472
2022-03-26;PI;Inhuma;city;1778;28;True;15319,0;2204709,0;11606,50173;0,0157;182,77955480122725;3607 º;624;0562;0772;560
2022-03-26;PI;Ipiranga do Piauí;city;846;19;True;9838,0;2204808,0;8599,3088;0,0225;193,12868469201058;3487 º;630;0560;0765;583
2022-03-26;PI;Isaías Coelho;city;914;9;True;8566,0;2204907,0;10670,09106;0,0098;105,06654214335745;4590 º;582;0628;0767;410
2022-03-26;PI;Itainópolis;city;1394;13;True;11551,0;2205003,0;12068,2192;0,0093;112,5443684529478;5306 º;541;0545;0725;401
2022-03-26;PI;Itaueira;city;206;27;True;11028,0;2205102,0;1867,97243;0,1311;244,83133841131664;4562 º;583;0594;0727;460
2022-03-26;PI;Jacobina do Piauí;city;402;4;True;5729,0;2205151,0;7016,9314;0,01;69,82021295164951;5361 º;535;0509;0724;416
